card_cm_bank12m_pct,card_cm_bank24m_pct,card_cm_bank60m_pct
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,1.0,1.0
0.045,0.136,1.0
0.353,0.353,0.47100000000000003
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.33299999999999996,0.33299999999999996
0.111,0.222,0.556
0.111,0.222,0.556
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.429,0.429
0.0,0.0,0.33299999999999996
0.0,0.619,1.0
-1.0,-1.0,-1.0
0.0,0.14300000000000002,0.35700000000000004
0.087,0.13,0.7390000000000001
0.0,0.0,0.0
0.2,0.2,1.0
0.0,0.062,0.312
0.0,0.0,0.0
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.5
0.0,0.0,1.0
0.0,0.0,0.4
0.0,0.667,1.0
0.0,0.0,0.33299999999999996
0.0,0.667,1.0
0.0,0.1,0.4
-1.0,-1.0,-1.0
0.0,0.0,0.5
0.0,0.0,0.16699999999999998
0.0,0.0,0.33299999999999996
0.0,0.778,0.889
0.0,0.0,1.0
0.0,0.5,1.0
0.0,0.053,0.158
0.16699999999999998,0.16699999999999998,0.5
0.14300000000000002,0.28600000000000003,0.5710000000000001
-1.0,-1.0,-1.0
0.0,0.55,0.75
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.25,0.5
0.0,0.25,0.5
0.0,0.0,1.0
0.0,1.0,1.0
-1.0,-1.0,-1.0
1.0,1.0,1.0
0.0,0.0,0.0
-1.0,-1.0,-1.0
0.2,0.2,1.0
-1.0,-1.0,-1.0
0.0,1.0,1.0
-1.0,-1.0,-1.0
0.25,0.25,1.0
0.0,1.0,1.0
1.0,1.0,1.0
0.062,0.125,0.562
0.0,0.0,0.0
0.0,0.25,1.0
1.0,1.0,1.0
0.0,0.0,0.2
0.0,0.188,0.875
0.0,0.0,1.0
0.0,0.0,0.0
0.25,0.25,0.25
0.0,0.16699999999999998,1.0
0.0,0.0,0.5
0.0,0.0,1.0
0.0,0.0,0.0
0.0,1.0,1.0
0.14300000000000002,0.14300000000000002,0.28600000000000003
0.0,0.0,0.7
0.0,0.0,0.5
0.0,0.0,0.5
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.5,1.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.12,0.72
0.25,0.583,1.0
0.0,0.111,0.556
-1.0,-1.0,-1.0
0.062,0.125,0.43799999999999994
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,0.16699999999999998
0.0,0.25,0.75
0.0,0.33299999999999996,1.0
0.0,1.0,1.0
0.0,0.0,0.5
0.16699999999999998,0.33299999999999996,0.33299999999999996
0.267,0.467,0.867
0.0,0.0,1.0
0.0,0.25,1.0
0.154,0.231,0.5379999999999999
-1.0,-1.0,-1.0
0.0,0.14300000000000002,0.5710000000000001
0.14300000000000002,0.429,0.857
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.8,0.8
0.0,0.25,0.5
-1.0,-1.0,-1.0
0.5,0.5,0.5
0.0,0.0,0.33299999999999996
0.25,0.25,1.0
0.25,0.833,0.917
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,1.0
-1.0,-1.0,-1.0
1.0,1.0,1.0
0.0,1.0,1.0
0.0,0.0,0.5
-1.0,-1.0,-1.0
0.75,0.75,0.75
0.0,0.043,0.217
0.125,0.375,0.375
0.0,0.111,0.667
0.0,0.0,1.0
0.0,1.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.071,0.214,0.857
0.0,0.5,1.0
0.0,0.0,0.75
-1.0,-1.0,-1.0
0.0,0.5,0.5
-1.0,-1.0,-1.0
0.034,0.172,0.9309999999999999
0.25,0.5,1.0
0.25,0.25,0.25
0.33299999999999996,0.33299999999999996,0.5
0.0,0.0,0.5710000000000001
0.0,0.5,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,0.0,0.14300000000000002
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.33299999999999996,0.667,0.667
0.0,0.2,0.4
0.0,0.0,0.0
-1.0,-1.0,-1.0
0.5,0.5,0.5
0.0,0.14300000000000002,0.429
0.0,0.0,0.4
0.0,0.0,0.0
0.312,0.43799999999999994,0.688
-1.0,-1.0,-1.0
0.0,0.6,1.0
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.619,0.9520000000000001
-1.0,-1.0,-1.0
0.0,0.8,1.0
0.0,0.0,1.0
0.0,0.5,1.0
0.0,0.0,1.0
0.125,0.5,0.812
0.0,0.13,0.9129999999999999
0.33299999999999996,0.583,1.0
1.0,1.0,1.0
0.0,1.0,1.0
-1.0,-1.0,-1.0
0.0,0.10300000000000001,0.379
-1.0,-1.0,-1.0
0.077,0.192,0.885
0.0,0.0,0.41700000000000004
0.0,0.0,0.0
0.0,0.28600000000000003,0.5710000000000001
0.75,1.0,1.0
0.111,0.222,0.222
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.667
-1.0,-1.0,-1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.083,0.833
0.0,0.0,1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,1.0,1.0
0.0,0.556,0.778
0.0,0.0,0.0
0.5,0.5,0.5
0.0,0.0,0.125
0.0,0.083,0.083
0.0,1.0,1.0
0.0,0.0,0.667
0.0,1.0,1.0
0.0,0.0,1.0
0.5,0.5,0.5
